Boro_Block_Lot,Baseline?,Condo_Section,Address,Neighborhood,Building_Classification,Total_Units,Year_Built,Gross_SqFt,Estimated_Gross_Income,Gross_Income_per_SqFt,Estimated_Expense,Expense_per_SqFt,Net_Operating_Income,Full_Market_Value,Market_Value_per_SqFt,Distance_From_Condo,BBL,BBLID,X,Y,Inspection_Type1,Inspection_ID1,Inspection_Date1,Result1,Inspection_Type2,Inspection_ID2,Inspection_Date2,Result2,Inspection_Type3,Inspection_ID3,Inspection_Date3,Result3,Inspection_Type4,Inspection_ID4,Inspection_Date4,Result4
1-01163-0053,NA,NA,244 WEST 72 STREET,UPPER WEST SIDE (59-79),D6-ELEVATOR,92,1928,87150,"$2,375,709 ",$27 ,"$949,935 ",$11 ,"$1,425,774 ","$10,285,000 ",$118 ,0.05,1-01163-0053,1011630053,988767.3,223136.6,INITIAL_INSP,PO436911,3/28/12,Passed Inspection,INITIAL_INSP,PO354674,10/20/11,Passed Inspection,INITIAL_INSP,PO181155,9/30/10,Passed Inspection,NA,NA,NA,NA
1-01163-0058,NA,NA,260 WEST 72 STREET,UPPER WEST SIDE (59-79),D7-ELEVATOR,53,1913,74176,"$1,916,313 ",$26 ,"$486,264 ",$7 ,"$1,430,049 ","$10,359,000 ",$140 ,0.05,1-01163-0058,1011630058,988641.6,223179,INITIAL_INSP,PO436907,3/28/12,Passed Inspection,INITIAL_INSP,PO354678,10/20/11,Passed Inspection,INITIAL_INSP,PO181151,9/30/10,Passed Inspection,NA,NA,NA,NA
1-01163-7501,No,0231-R1,211 WEST 71 STREET,UPPER WEST SIDE (59-79),R4-CONDOMINIUM,58,1986,58000,"$2,203,420 ",$38 ,"$515,040 ",$9 ,"$1,688,380 ","$12,778,986 ",$220 ,NA,1-01163-7501,1011637501,989075.8,222857.4,INITIAL_INSP,PO436928,3/29/12,Passed Inspection,INITIAL_INSP,PO354698,10/20/11,Passed Inspection,INITIAL_INSP,PO181172,9/30/10,Passed Inspection,NA,NA,NA,NA
1-01163-7502,No,1989-R1,235 WEST 71 STREET,UPPER WEST SIDE (59-79),R4-CONDOMINIUM,20,1912,47000,"$1,899,270 ",$40 ,"$522,170 ",$11 ,"$1,377,100 ","$5,611,982 ",$119 ,NA,1-01163-7502,1011637502,988880.4,222990,INITIAL_INSP,PO436935,3/29/12,Passed Inspection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-01163-7503,No,2080-R1,200 WEST 72 STREET,UPPER WEST SIDE (59-79),RR-CONDOMINIUM,196,2008,203946,"$9,320,332 ",$46 ,"$2,320,905 ",$11 ,"$6,999,427 ","$52,647,000 ",$258 ,NA,1-01163-7503,1011637503,989082.5,222945.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-01164-7501,No,0731-R1,2081 BROADWAY,UPPER WEST SIDE (59-79),R4-CONDOMINIUM,201,1991,265469,"$11,239,957 ",$42 ,"$3,873,193 ",$15 ,"$7,366,764 ","$55,398,460 ",$209 ,NA,1-01164-7501,1011647501,989127,223188.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-01165-7501,No,0189-R1,253 WEST 73 STREET,UPPER WEST SIDE (59-79),R4-CONDOMINIUM,159,1926,186929,"$7,387,434 ",$40 ,"$2,411,384 ",$13 ,"$4,976,050 ","$37,622,998 ",$201 ,NA,1-01165-7501,1011657501,988990,223587.1,INITIAL_INSP,PO435219,4/5/12,Passed Inspection,INITIAL_INSP,PO353454,11/10/11,Passed Inspection,INITIAL_INSP,PO179743,9/28/10,Passed Inspection,INITIAL_INSP,PO89754,4/20/10,Passed Inspection
1-01165-7503,No,0799-R1,2101 BROADWAY,UPPER WEST SIDE (59-79),R4-CONDOMINIUM,465,1902,446600,"$16,885,946 ",$38 ,"$5,109,104 ",$11 ,"$11,776,842 ","$56,973,440 ",$128 ,NA,1-01165-7503,1011657503,989146.5,223527.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-01165-7505,No,1674-R1,2112 BROADWAY,UPPER WEST SIDE (59-79),R4-CONDOMINIUM,29,1928,90440,"$4,337,502 ",$48 ,"$1,400,011 ",$15 ,"$2,937,491 ","$22,057,999 ",$244 ,NA,1-01165-7505,1011657505,989451.4,223357.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-01166-7501,No,0344-R1,2120 BROADWAY,UPPER WEST SIDE (59-79),R4-CONDOMINIUM,92,1922,54975,"$2,014,284 ",$37 ,"$588,782 ",$11 ,"$1,425,502 ","$10,501,998 ",$191 ,NA,1-01166-7501,1011667501,989516.4,223535,INITIAL_INSP,PO435060,4/3/12,Passed Inspection,INITIAL_INSP,PO354125,10/25/11,Passed Inspection,INITIAL_INSP,PO179677,9/30/10,Passed Inspection,NA,NA,NA,NA
1-01167-0007,NA,NA,245 WEST 75 STREET,UPPER WEST SIDE (59-79),D1-ELEVATOR,48,1924,24840,"$1,015,948 ",$41 ,"$345,742 ",$14 ,"$670,206 ","$5,062,000 ",$204 ,0.11,1-01167-0007,1011670007,989187.1,224067.3,COMPLIANCE_INSP,PO179706,11/12/10,Passed Inspection,INITIAL_INSP,PO434976,3/29/12,Passed Inspection,INITIAL_INSP,PO353957,10/20/11,Passed Inspection,INITIAL_INSP,PO179706,9/30/10,Active Rat Signs
1-01167-0040,NA,NA,216 WEST 76 STREET,UPPER WEST SIDE (59-79),D8-ELEVATOR,79,2009,304018,"$13,455,837 ",$44 ,"$3,405,002 ",$11 ,"$10,050,835 ","$11,600,000 ",$38 ,8.47,1-01167-0040,1011670040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-01167-7501,No,0650-R1,2138 BROADWAY,UPPER WEST SIDE (59-79),R9-CONDOMINIUM,110,1924,107050,"$3,444,869 ",$32 ,"$856,400 ",$8 ,"$2,588,469 ","$19,275,000 ",$180 ,NA,1-01167-7501,1011677501,989578.5,223846.7,COMPLIANCE_INSP,PO179667,11/12/10,Passed Inspection,INITIAL_INSP,PO434966,3/29/12,Passed Inspection,INITIAL_INSP,PO353966,10/20/11,Passed Inspection,INITIAL_INSP,PO179667,10/1/10,Active Rat Signs
1-01168-0010,NA,NA,2161 BROADWAY,UPPER WEST SIDE (59-79),D6-ELEVATOR,83,1925,170801,"$5,187,226 ",$30 ,"$1,971,044 ",$12 ,"$3,216,182 ","$24,055,000 ",$141 ,0.27,1-01168-0010,1011680010,989391.9,224237.8,INITIAL_INSP,PO434783,3/27/12,Passed Inspection,INITIAL_INSP,PO353397,10/18/11,Passed Inspection,INITIAL_INSP,PO183590,10/4/10,Passed Inspection,NA,NA,NA,NA
1-01168-7501,No,2048-R1,205 WEST 76 STREET,UPPER WEST SIDE (59-79),R4-CONDOMINIUM,127,2007,219320,"$11,106,365 ",$51 ,"$2,647,192 ",$12 ,"$8,459,173 ","$63,349,995 ",$289 ,NA,1-01168-7501,1011687501,989788.9,224049.6,INITIAL_INSP,PO434793,3/27/12,Passed Inspection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-01169-0008,NA,NA,2181 BROADWAY,UPPER WEST SIDE (59-79),D6-ELEVATOR,115,1924,114767,"$3,505,905 ",$31 ,"$1,339,684 ",$12 ,"$2,166,221 ","$16,196,000 ",$141 ,0.14,1-01169-0008,1011690008,989481,224487.2,INITIAL_INSP,PO436405,3/28/12,Passed Inspection,INITIAL_INSP,PO353149,10/28/11,Passed Inspection,INITIAL_INSP,PO183612,10/4/10,Passed Inspection,NA,NA,NA,NA
1-01169-7501,No,0876-R1,200 WEST 78 STREET,UPPER WEST SIDE (59-79),R2-CONDOMINIUM,16,1920,9957,"$437,511 ",$44 ,"$120,778 ",$12 ,"$316,733 ","$2,385,000 ",$240 ,NA,1-01169-7501,1011697501,990020.3,224313,INITIAL_INSP,PO436419,3/26/12,Passed Inspection,INITIAL_INSP,PO353158,11/1/11,Passed Inspection,INITIAL_INSP,PO179647,10/4/10,Passed Inspection,NA,NA,NA,NA
1-01169-7502,No,2023-R1,230 WEST 78 STREET,UPPER WEST SIDE (59-79),R4-CONDOMINIUM,34,2008,91271,"$3,616,157 ",$40 ,"$794,970 ",$9 ,"$2,821,187 ","$21,053,999 ",$231 ,NA,1-01169-7502,1011697502,989772.6,224449.2,INITIAL_INSP,PO436413,3/26/12,Passed Inspection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-01170-7501,No,0627-R1,380 AMSTERDAM AVENUE,UPPER WEST SIDE (59-79),R9-CONDOMINIUM,272,1975,226556,"$8,572,879 ",$38 ,"$2,782,108 ",$12 ,"$5,790,771 ","$43,836,000 ",$193 ,NA,1-01170-7501,1011707501,990084.2,224520.5,INITIAL_INSP,PO434660,3/26/12,Passed Inspection,INITIAL_INSP,PO418958,3/2/12,Passed Inspection,INITIAL_INSP,PO353072,10/27/11,Passed Inspection,INITIAL_INSP,PO179630,10/4/10,Passed Inspection
1-01170-7502,No,2128-R1,2211 BROADWAY,UPPER WEST SIDE (59-79),R4-CONDOMINIUM,161,1908,437054,"$13,111,620 ",$30 ,"$5,026,121 ",$12 ,"$8,085,499 ","$60,524,999 ",$138 ,NA,1-01170-7502,1011707502,989544,224817.6,INITIAL_INSP,PO434648,3/28/12,Passed Inspection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-01171-7501,No,1058-R1,200 RIVERSIDE BOULEVARD,UPPER WEST SIDE (59-79),R4-CONDOMINIUM,372,1997,512280,"$22,673,513 ",$44 ,"$5,609,466 ",$11 ,"$17,064,047 ","$124,320,032 ",$243 ,NA,1-01171-7501,1011717501,987638.2,223102.5,INITIAL_INSP,PO437191,4/2/12,Passed Inspection,INITIAL_INSP,PO337732,9/15/11,Passed Inspection,INITIAL_INSP,PO185908,10/8/10,Passed Inspection,NA,NA,NA,NA
1-01171-7502,No,1262-R1,220 RIVERSIDE BOULEVARD,UPPER WEST SIDE (59-79),R4-CONDOMINIUM,422,2000,602694,"$26,675,236 ",$44 ,"$6,750,173 ",$11 ,"$19,925,063 ","$146,299,972 ",$243 ,NA,1-01171-7502,1011717502,987794.2,223371,INITIAL_INSP,PO437015,4/5/12,Passed Inspection,INITIAL_INSP,PO337733,9/15/11,Passed Inspection,INITIAL_INSP,PO185888,10/8/10,Passed Inspection,NA,NA,NA,NA
1-01171-7503,No,1401-R1,240 RIVERSIDE BOULEVARD,UPPER WEST SIDE (59-79),R4-CONDOMINIUM,167,2004,322204,"$14,260,749 ",$44 ,"$3,608,685 ",$11 ,"$10,652,064 ","$78,319,977 ",$243 ,NA,1-01171-7503,1011717503,987870.9,223613.5,INITIAL_INSP,PO436875,3/28/12,Passed Inspection,INITIAL_INSP,PO337734,9/16/11,Passed Inspection,INITIAL_INSP,PO185819,10/8/10,Passed Inspection,NA,NA,NA,NA
1-01171-7504,No,1463-R1,120 RIVERSIDE BOULEVARD,UPPER WEST SIDE (59-79),R4-CONDOMINIUM,277,2004,263003,"$11,640,513 ",$44 ,"$2,945,634 ",$11 ,"$8,694,879 ","$63,910,037 ",$243 ,NA,1-01171-7504,1011717504,987292.5,222111.9,INITIAL_INSP,PO437498,4/6/12,Passed Inspection,INITIAL_INSP,PO337721,9/15/11,Passed Inspection,INITIAL_INSP,PO167137,9/10/10,Passed Inspection,NA,NA,NA,NA
1-01171-7505,No,1807-R1,100 RIVERSIDE BOULEVARD,UPPER WEST SIDE (59-79),R4-CONDOMINIUM,266,2006,388033,"$17,174,341 ",$44 ,"$4,345,970 ",$11 ,"$12,828,371 ","$94,270,003 ",$243 ,NA,1-01171-7505,1011717505,987192.7,221873.8,INITIAL_INSP,PO437499,4/6/12,Passed Inspection,INITIAL_INSP,PO337720,9/15/11,Passed Inspection,INITIAL_INSP,PO167135,9/10/10,Passed Inspection,NA,NA,NA,NA
1-01171-7506,No,1988-R1,33 WEST END AVENUE,UPPER WEST SIDE (59-79),RR-CONDOMINIUM,319,2006,287900,"$6,595,000 ",$23 ,"$1,763,000 ",$6 ,"$4,832,000 ","$33,166,000 ",$115 ,NA,1-01171-7506,1011717506,987031.2,221047.7,INITIAL_INSP,PO437561,4/6/12,Passed Inspection,INITIAL_INSP,PO410832,2/15/12,Passed Inspection,INITIAL_INSP,PO337717,9/15/11,Passed Inspection,INITIAL_INSP,PO167127,9/10/10,Passed Inspection
1-01171-7507,No,1992-R1,80 RIVERSIDE BOULEVARD,UPPER WEST SIDE (59-79),R4-CONDOMINIUM,271,2006,572768,"$25,688,645 ",$45 ,"$6,031,247 ",$11 ,"$19,657,398 ","$147,944,993 ",$258 ,NA,1-01171-7507,1011717507,987101.6,221628.5,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-01179-7501,No,0411-R1,165 WEST END AVENUE,UPPER WEST SIDE (59-79),R9-CONDOMINIUM,403,1962,421100,"$16,587,129 ",$39 ,"$6,358,610 ",$15 ,"$10,228,519 ","$53,680,000 ",$127 ,NA,1-01179-7501,1011797501,987811.7,222459.1,INITIAL_INSP,PO437197,4/2/12,Passed Inspection,INITIAL_INSP,PO354781,10/24/11,Passed Inspection,INITIAL_INSP,PO185911,10/12/10,Passed Inspection,NA,NA,NA,NA
1-01179-7502,No,0412-R1,185 WEST END AVENUE,UPPER WEST SIDE (59-79),R9-CONDOMINIUM,432,1962,383760,"$15,116,306 ",$39 ,"$5,794,776 ",$15 ,"$9,321,530 ","$48,950,000 ",$128 ,NA,1-01179-7502,1011797502,987909.2,222660.9,INITIAL_INSP,PO437195,4/2/12,Passed Inspection,INITIAL_INSP,PO354780,10/24/11,Passed Inspection,INITIAL_INSP,PO185910,10/12/10,Passed Inspection,INITIAL_INSP,PO38613,12/7/09,Passed Inspection
1-01179-7503,No,0413-R1,205 WEST END AVENUE,UPPER WEST SIDE (59-79),R9-CONDOMINIUM,543,1962,533710,"$21,022,837 ",$39 ,"$8,059,021 ",$15 ,"$12,963,816 ","$92,850,000 ",$174 ,NA,1-01179-7503,1011797503,987980.9,222847.7,INITIAL_INSP,PO437196,4/2/12,Passed Inspection,INITIAL_INSP,PO354779,10/24/11,Passed Inspection,INITIAL_INSP,PO185907,10/8/10,Passed Inspection,NA,NA,NA,NA
1-01182-7501,No,0547-R1,235 WEST END AVENUE,UPPER WEST SIDE (59-79),R4-CONDOMINIUM,148,1930,152076,"$6,010,044 ",$40 ,"$1,961,780 ",$13 ,"$4,048,264 ","$30,607,999 ",$201 ,NA,1-01182-7501,1011827501,988285.3,223101,COMPLIANCE_INSP,PO354719,12/13/11,Passed Inspection,INITIAL_INSP,PO437034,4/5/12,Passed Inspection,INITIAL_INSP,PO354719,10/28/11,Problem Conditions,INITIAL_INSP,PO185879,10/8/10,Passed Inspection
1-01183-0022,NA,NA,325 WEST 71 STREET,UPPER WEST SIDE (59-79),D7-ELEVATOR,29,1920,21960,"$604,461 ",$28 ,"$196,108 ",$9 ,"$408,353 ","$2,944,000 ",$134 ,0.16,1-01183-0022,1011830022,988206.4,223338.3,COMPLIANCE_INSP,PO377332,12/19/11,Passed Inspection,INITIAL_INSP,PO436893,3/28/12,Passed Inspection,INITIAL_INSP,PO377332,11/29/11,Active Rat Signs,INITIAL_INSP,PO185806,10/8/10,Passed Inspection
1-01184-0002,NA,NA,2 RIVERSIDE DRIVE,UPPER WEST SIDE (59-79),D1-ELEVATOR,24,1963,12656,"$417,697 ",$33 ,"$144,421 ",$11 ,"$273,276 ","$2,032,000 ",$161 ,0.1,1-01184-0002,1011840002,988324.2,223631.7,INITIAL_INSP,PO436725,3/28/12,Passed Inspection,INITIAL_INSP,PO354622,10/20/11,Passed Inspection,INITIAL_INSP,PO185790,10/7/10,Passed Inspection,NA,NA,NA,NA
1-01184-0089,NA,NA,306 WEST 75 STREET,UPPER WEST SIDE (59-79),D1-ELEVATOR,30,1920,20130,"$627,145 ",$31 ,"$156,190 ",$8 ,"$470,955 ","$3,517,000 ",$175 ,0,1-01184-0089,1011840089,988707.1,224095.9,INITIAL_INSP,PO435021,4/3/12,Passed Inspection,INITIAL_INSP,PO354085,10/25/11,Passed Inspection,INITIAL_INSP,PO185217,10/6/10,Passed Inspection,NA,NA,NA,NA
1-01184-7501,No,1631-R1,22 RIVERSIDE DRIVE,UPPER WEST SIDE (59-79),R4-CONDOMINIUM,25,1931,45968,"$1,431,903 ",$31 ,"$356,712 ",$8 ,"$1,075,191 ","$5,863,003 ",$128 ,NA,1-01184-7501,1011847501,988456.7,224138.6,INITIAL_INSP,PO435036,4/3/12,Passed Inspection,INITIAL_INSP,PO354100,10/25/11,Passed Inspection,INITIAL_INSP,PO185225,10/6/10,Passed Inspection,NA,NA,NA,NA
1-01197-0064,NA,NA,489 COLUMBUS AVENUE,UPPER WEST SIDE (79-96),C7-WALK-UP,18,1910,10197,"$443,647 ",$44 ,"$119,421 ",$12 ,"$324,226 ","$1,710,000 ",$168 ,0.05,1-01197-0064,1011970064,991719.6,225187.8,INITIAL_INSP,PO430456,3/20/12,Passed Inspection,INITIAL_INSP,PO348287,10/19/11,Passed Inspection,INITIAL_INSP,PO178790,9/22/10,Passed Inspection,NA,NA,NA,NA
1-01197-7501,No,0334-R1,20 WEST 84 STREET,UPPER WEST SIDE (79-96),R4-CONDOMINIUM,37,1924,55226,"$1,721,394 ",$31 ,"$552,812 ",$10 ,"$1,168,582 ","$7,040,006 ",$127 ,NA,1-01197-7501,1011977501,992137,224987.4,INITIAL_INSP,PO430472,3/20/12,Passed Inspection,INITIAL_INSP,PO348303,10/18/11,Passed Inspection,INITIAL_INSP,PO178816,9/22/10,Passed Inspection,NA,NA,NA,NA
1-01198-0015,NA,NA,29 WEST 84 STREET,UPPER WEST SIDE (79-96),C5-WALK-UP,18,1900,11988,"$356,306 ",$30 ,"$97,674 ",$8 ,"$258,632 ","$1,938,000 ",$162 ,0,1-01198-0015,1011980015,992089.8,225207,INITIAL_INSP,PO430289,3/20/12,Passed Inspection,INITIAL_INSP,PO348314,10/18/11,Passed Inspection,INITIAL_INSP,PO176958,9/20/10,Passed Inspection,NA,NA,NA,NA
1-01198-7501,No,0675-R1,74 WEST 85 STREET,UPPER WEST SIDE (79-96),R2-CONDOMINIUM,10,1910,9075,"$309,548 ",$34 ,"$95,560 ",$11 ,"$213,988 ","$1,110,995 ",$122 ,NA,1-01198-7501,1011987501,991902.8,225431,INITIAL_INSP,PO430273,3/20/12,Passed Inspection,INITIAL_INSP,PO348329,10/17/11,Passed Inspection,INITIAL_INSP,PO177001,9/20/10,Passed Inspection,NA,NA,NA,NA
1-01198-7502,No,0909-R1,76 WEST 85 STREET,UPPER WEST SIDE (79-96),R4-CONDOMINIUM,52,1900,39438,"$1,441,459 ",$37 ,"$458,664 ",$12 ,"$982,795 ","$7,241,001 ",$184 ,NA,1-01198-7502,1011987502,991857.9,225455.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-01199-0061,NA,NA,531 COLUMBUS AVENUE,UPPER WEST SIDE (79-96),D7-ELEVATOR,33,1910,47765,"$2,535,296 ",$53 ,"$433,157 ",$9 ,"$2,102,139 ","$15,600,000 ",$327 ,0.05,1-01199-0061,1011990061,991994.7,225682.3,INITIAL_INSP,PO430191,3/20/12,Passed Inspection,INITIAL_INSP,PO350369,10/19/11,Passed Inspection,INITIAL_INSP,PO176897,9/17/10,Passed Inspection,NA,NA,NA,NA
1-01199-7502,No,0481-R1,28 WEST 86 STREET,UPPER WEST SIDE (79-96),R4-CONDOMINIUM,20,1910,28600,"$929,500 ",$33 ,"$172,744 ",$6 ,"$756,756 ","$4,399,980 ",$154 ,NA,1-01199-7502,1011997502,992270.7,225508.7,INITIAL_INSP,PO430200,3/20/12,Passed Inspection,INITIAL_INSP,PO350360,10/19/11,Passed Inspection,INITIAL_INSP,PO176934,9/17/10,Passed Inspection,NA,NA,NA,NA
1-01200-0005,NA,NA,51 WEST 86 STREET,UPPER WEST SIDE (79-96),D3-ELEVATOR,83,1927,70144,"$2,092,644 ",$30 ,"$980,376 ",$14 ,"$1,112,268 ","$8,335,000 ",$119 ,0.23,1-01200-0005,1012000005,992171.8,225840.5,INITIAL_INSP,PO433077,3/26/12,Passed Inspection,INITIAL_INSP,PO339854,10/18/11,Passed Inspection,INITIAL_INSP,PO172301,9/16/10,Passed Inspection,NA,NA,NA,NA
1-01202-7501,No,0692-R1,279 CENTRAL PARK WEST,UPPER WEST SIDE (79-96),R4-CONDOMINIUM,36,1988,115502,"$5,214,915 ",$45 ,"$1,345,598 ",$12 ,"$3,869,317 ","$29,115,002 ",$252 ,NA,1-01202-7501,1012027501,992953,225961.6,INITIAL_INSP,PO432634,3/26/12,Passed Inspection,INITIAL_INSP,PO339766,10/12/11,Passed Inspection,INITIAL_INSP,PO172206,9/10/10,Passed Inspection,NA,NA,NA,NA
1-01203-7501,No,1000-R1,30 WEST 90 STREET,UPPER WEST SIDE (79-96),R4-CONDOMINIUM,47,1927,39942,"$1,354,433 ",$34 ,"$348,294 ",$9 ,"$1,006,139 ","$5,092,993 ",$128 ,NA,1-01203-7501,1012037501,992805.2,226449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-01203-7502,No,1008-R1,291 CENTRAL PARK WEST,UPPER WEST SIDE (79-96),R4-CONDOMINIUM,11,1960,19902,"$763,839 ",$38 ,"$216,733 ",$11 ,"$547,106 ","$3,156,997 ",$159 ,NA,1-01203-7502,1012037502,993075,226178.3,INITIAL_INSP,PO431439,3/29/12,Passed Inspection,INITIAL_INSP,PO339720,10/11/11,Passed Inspection,INITIAL_INSP,PO172143,9/7/10,Passed Inspection,NA,NA,NA,NA
1-01206-7501,No,1257-R1,327 CENTRAL PARK WEST,UPPER WEST SIDE (79-96),R4-CONDOMINIUM,85,1929,130259,"$4,536,921 ",$35 ,"$1,359,904 ",$10 ,"$3,177,017 ","$23,513,999 ",$181 ,NA,1-01206-7501,1012067501,993510.7,226995.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-01209-7501,No,0839-R1,353 CENTRAL PARK WEST,UPPER WEST SIDE (79-96),R4-CONDOMINIUM,18,1991,53656,"$2,366,766 ",$44 ,"$698,065 ",$13 ,"$1,668,701 ","$10,238,023 ",$191 ,NA,1-01209-7501,1012097501,993858.1,227546,INITIAL_INSP,PO429954,3/22/12,Passed Inspection,INITIAL_INSP,PO339530,9/23/11,Passed Inspection,INITIAL_INSP,PO170079,9/1/10,Passed Inspection,NA,NA,NA,NA
1-01210-0023,NA,NA,125 WEST 79 STREET,UPPER WEST SIDE (79-96),C1-WALK-UP,11,1900,8730,"$228,348 ",$26 ,"$70,602 ",$8 ,"$157,746 ","$1,142,000 ",$131 ,0.11,1-01210-0023,1012100023,990840.9,224396.9,INITIAL_INSP,PO434576,3/27/12,Passed Inspection,INITIAL_INSP,PO353023,11/19/11,Passed Inspection,NA,NA,NA,NA,NA,NA,NA,NA
1-01210-0033,NA,NA,410 COLUMBUS AVENUE,UPPER WEST SIDE (79-96),D7-ELEVATOR,52,1900,65814,"$4,014,679 ",$61 ,"$1,075,546 ",$16 ,"$2,939,133 ","$21,810,000 ",$331 ,0,1-01210-0033,1012100033,991069.5,224378.7,COMPLIANCE_INSP,PO71334,4/30/10,Passed Inspection,INITIAL_INSP,PO434540,3/27/12,Passed Inspection,INITIAL_INSP,PO353019,11/19/11,Passed Inspection,INITIAL_INSP,PO71334,4/13/10,Active Rat Signs
1-01210-7501,No,0204-R1,402 COLUMBUS AVENUE,UPPER WEST SIDE (79-96),R4-CONDOMINIUM,147,1986,215942,"$9,112,752 ",$42 ,"$2,751,101 ",$13 ,"$6,361,651 ","$48,005,006 ",$222 ,NA,1-01210-7501,1012107501,990998,224309.7,INITIAL_INSP,PO434580,3/27/12,Passed Inspection,INITIAL_INSP,PO353020,11/19/11,Passed Inspection,NA,NA,NA,NA,NA,NA,NA,NA
1-01210-7502,No,0669-R1,186 WEST 80 STREET,UPPER WEST SIDE (79-96),R4-CONDOMINIUM,91,1920,60653,"$2,905,885 ",$48 ,"$626,545 ",$10 ,"$2,279,340 ","$15,749,994 ",$260 ,NA,1-01210-7502,1012107502,990430.4,224734.1,INITIAL_INSP,PO434566,3/27/12,Passed Inspection,INITIAL_INSP,PO352986,10/13/11,Passed Inspection,NA,NA,NA,NA,NA,NA,NA,NA
1-01212-7501,No,0036-R1,101 WEST 81 STREET,UPPER WEST SIDE (79-96),R9-CONDOMINIUM,134,1900,148751,"$5,838,477 ",$39 ,"$1,929,300 ",$13 ,"$3,909,177 ","$29,561,000 ",$199 ,NA,1-01212-7501,1012127501,991257.5,224820.3,INITIAL_INSP,PO431745,3/21/12,Passed Inspection,INITIAL_INSP,PO350543,9/28/11,Passed Inspection,INITIAL_INSP,PO180849,9/30/10,Passed Inspection,INITIAL_INSP,PO43113,1/23/10,Passed Inspection
1-01213-0034,NA,NA,472 COLUMBUS AVENUE,UPPER WEST SIDE (79-96),C7-WALK-UP,16,1900,10400,"$337,603 ",$32 ,"$89,534 ",$9 ,"$248,069 ","$1,846,000 ",$178 ,0,1-01213-0034,1012130034,991432.7,225070.7,INITIAL_INSP,PO430942,3/21/12,Passed Inspection,INITIAL_INSP,PO350523,9/27/11,Passed Inspection,INITIAL_INSP,PO180808,9/29/10,Passed Inspection,NA,NA,NA,NA
1-01213-0035,NA,NA,474 COLUMBUS AVENUE,UPPER WEST SIDE (79-96),C7-WALK-UP,16,1900,10400,"$408,145 ",$39 ,"$89,537 ",$9 ,"$318,608 ","$2,409,000 ",$232 ,0,1-01213-0035,1012130035,991445.9,225094.7,INITIAL_INSP,PO430941,3/21/12,Passed Inspection,INITIAL_INSP,PO350524,9/27/11,Passed Inspection,INITIAL_INSP,PO180809,9/29/10,Passed Inspection,NA,NA,NA,NA
1-01213-0040,NA,NA,118 WEST 83 STREET,UPPER WEST SIDE (79-96),C5-WALK-UP,21,1900,9905,"$343,115 ",$35 ,"$115,953 ",$12 ,"$227,162 ","$1,362,000 ",$138 ,0,1-01213-0040,1012130040,991317.2,225152.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-01213-7503,No,0512-R1,125 WEST 82 STREET,UPPER WEST SIDE (79-96),R4-CONDOMINIUM,36,1912,35516,"$1,064,770 ",$30 ,"$254,650 ",$7 ,"$810,120 ","$5,955,000 ",$168 ,NA,1-01213-7503,1012137503,991113.6,225163.3,INITIAL_INSP,PO430956,3/21/12,Passed Inspection,INITIAL_INSP,PO350509,9/27/11,Passed Inspection,INITIAL_INSP,PO180796,9/29/10,Passed Inspection,NA,NA,NA,NA
1-01213-7504,No,0722-R1,107 WEST 82 STREET,UPPER WEST SIDE (79-96),R9-CONDOMINIUM,59,1900,48846,"$1,584,076 ",$32 ,"$544,633 ",$11 ,"$1,039,443 ","$7,736,000 ",$158 ,NA,1-01213-7504,1012137504,991316.3,225053.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-01213-7506,No,1455-R1,164 WEST 83 STREET,UPPER WEST SIDE (79-96),R2-CONDOMINIUM,10,1955,8563,"$296,622 ",$35 ,"$100,273 ",$12 ,"$196,349 ","$1,455,999 ",$170 ,NA,1-01213-7506,1012137506,990894.3,225368.2,INITIAL_INSP,PO430972,3/21/12,Passed Inspection,INITIAL_INSP,PO381039,12/6/11,Passed Inspection,INITIAL_INSP,PO350540,9/28/11,Passed Inspection,INITIAL_INSP,PO180825,9/29/10,Passed Inspection
